Country,Mean Muscle Mass Index
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0
USA,29.3
USA,28.9
USA,29.6
USA,29.2
USA,28.7
USA,29.4
USA,29.1
USA,29.3
USA,28.8
USA,29.5
USA,29.0
USA,29.2
USA,29.4
USA,28.9
USA,29.3
USA,28.7
USA,29.5
USA,29.1
USA,29.4
USA,28.8
USA,29.2
USA,29.5
USA,29.0

Canada,21.7
Canada,21.8
Canada,21.9
Canada,22.0
Canada,21.6
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
Canada,22.2
Canada,21.9
Canada,22.0
Canada,21.8
Canada,22.1
Canada,21.7
